Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDV56,OUT035,1727.147
FDT59,OUT046,4071.397
FDB23,OUT046,3822.222
FDR49,OUT045,796.3
FDB03,OUT010,605.352
FDN39,OUT045,2856.621
FDX02,OUT027,6037.475
FDQ16,OUT027,2562.195
FDU35,OUT018,1388.046
NCT29,OUT013,1949.593
FDZ27,OUT046,807.089
FDN57,OUT017,2039.199
FDA03,OUT018,2340.319
FDZ36,OUT045,3186.694
NCU05,OUT013,1328.912
FDT39,OUT018,2271.64
FDK60,OUT017,1653.057
FDZ25,OUT017,2999.521
FDG12,OUT046,2198.861
DRB01,OUT019,516.274
NCC43,OUT027,6116.378
FDX13,OUT019,585.987
FDM22,OUT049,844.691
FDJ03,OUT027,1134.127
FDU14,OUT018,3489.33
FDB33,OUT010,397.258
FDP27,OUT046,3081.148
FDO38,OUT010,181.494
FDE28,OUT027,6116.378
FDO27,OUT035,1624.451
DRL23,OUT027,2541.239
FDS28,OUT046,941.666
FDX24,OUT013,1393.775
FDZ02,OUT035,1716.48
FDL46,OUT045,1737.154
FDS60,OUT027,4725.233
NCO06,OUT017,581.604
FDO16,OUT035,1363.597
FDC60,OUT049,1333.953
FDA48,OUT018,3361.813
FDZ36,OUT027,5072.231
FDK27,OUT045,2064.621
FDW23,OUT018,586.227
FDM14,OUT018,1571.568
FDM14,OUT013,1572.335
FDW60,OUT018,2590.288
FDE21,OUT013,1926.521
NCM42,OUT035,1765.036
FDY59,OUT010,218.249
DRI49,OUT049,1335.519
FDT28,OUT019,353.325
FDQ22,OUT018,578.21
FDR60,OUT049,1266.544
FDC50,OUT019,242.263
FDV24,OUT013,2467.148
DRF48,OUT010,518.921
FDQ47,OUT046,585.888
DRN36,OUT049,1664.51
NCY06,OUT035,2002.311
FDE52,OUT035,1449.365
NCB54,OUT045,1896.246
NCF31,OUT035,2422.242
FDJ08,OUT027,5109.498
NCC07,OUT017,1721.195
NCD19,OUT027,1365.977
FDL46,OUT049,2047.675
FDM20,OUT045,4001.85
NCI06,OUT010,419.718
DRM11,OUT035,4505.626
NCH07,OUT018,2423.974
FDS23,OUT013,2130.456
FDO49,OUT018,734.893
FDS35,OUT049,1080.032
DRK39,OUT045,1367.783
DRI39,OUT049,889.413
FDV04,OUT017,2574.621
NCN14,OUT035,3222.278
FDH08,OUT013,3970.779
FDS20,OUT046,3330.671
FDV40,OUT049,1192.972
FDZ48,OUT010,258.528
FDS24,OUT027,2198.445
FDK44,OUT049,2858.106
FDS48,OUT045,2378.038
FDK26,OUT010,514.75
FDD23,OUT045,3080.098
NCH54,OUT017,2678.794
NCP14,OUT010,241.944
FDM60,OUT010,95.699
FDV24,OUT017,2536.373
FDH08,OUT018,3510.899
FDS12,OUT027,3407.351
FDR39,OUT027,4756.45
FDP12,OUT027,1068.956
DRF60,OUT027,6145.509
FDC09,OUT035,1798.227
FDF50,OUT018,2821.178
FDG28,OUT035,3980.56
NCE19,OUT017,929.106
NCM53,OUT010,253.847
NCN18,OUT049,1832.039
FDF32,OUT035,3061.776
FDF11,OUT013,4042.209
DRI59,OUT049,4074.392
NCG54,OUT035,2833.62
FDM44,OUT046,1742.986
FDT57,OUT018,3464.295
FDV24,OUT046,2586.364
FDI50,OUT019,576.125
FDS09,OUT035,759.739
NCC31,OUT027,3794.794
FDQ07,OUT019,554.348
FDC22,OUT017,3161.038
FDZ56,OUT046,2876.34
FDZ40,OUT019,157.31
FDS46,OUT027,3177.886
DRD24,OUT045,2146.58
FDV45,OUT017,3147.508
FDL26,OUT045,2408.584
FDA56,OUT018,1995.708
FDN27,OUT046,1957.983
FDM20,OUT049,4117.249
FDO16,OUT017,1362.374
FDL03,OUT035,3039.531
FDE58,OUT046,1825.948
FDI02,OUT027,3114.894
NCC55,OUT019,95.699
FDR03,OUT018,3190.416
FDB14,OUT017,1399.858
FDR45,OUT013,4159.574
NCN07,OUT017,2120.764
FDM51,OUT019,268.161
FDT52,OUT027,6172.272
FDL26,OUT046,2441.3
NCZ42,OUT046,3857.825
DRI47,OUT019,370.868
FDW40,OUT013,2177.553
FDN34,OUT046,2910.124
FDS01,OUT035,2991.535
NCG55,OUT045,1850.965
FDC11,OUT035,1392.656
FDX35,OUT018,3456.44
NCB06,OUT046,2646.943
FDR09,OUT019,596.872
FDC53,OUT017,1669.168
FDY45,OUT013,3921.572
FDA22,OUT010,396.488
FDE02,OUT035,1630.529
FDW21,OUT045,1580.836
FDV34,OUT046,1153.252
FDS59,OUT049,1749.989
NCW17,OUT017,2205.087
NCK54,OUT046,2037.843
FDG17,OUT019,582.977
FDG35,OUT017,3149.607
FDD08,OUT010,95.699
NCO07,OUT017,3916.601
FDJ10,OUT010,289.684
FDW36,OUT017,1733.428
FDW21,OUT010,239.81
FDY19,OUT017,1893.713
DRE03,OUT013,751.321
NCC55,OUT049,620.762
FDH52,OUT010,172.827
FDO09,OUT017,3867.188
FDU43,OUT045,3811.881
FDX09,OUT010,418.646
FDH40,OUT019,204.395
FDW58,OUT017,1745.432
FDC47,OUT017,3765.95
NCR41,OUT035,1581.739
DRG49,OUT035,4229.085
FDC52,OUT027,3776.872
FDY13,OUT046,1208.803
FDY35,OUT013,596.245
FDI35,OUT017,3260.97
NCU18,OUT049,2033.913
FDY33,OUT018,2438.882
FDC15,OUT027,3890.878
FDU01,OUT049,3156.485
NCU42,OUT046,2913.894
NCV29,OUT018,2570.644
NCY30,OUT017,3242.336
FDQ46,OUT049,1737.593
FDG58,OUT027,3759.821
FDK33,OUT017,3827.42
NCD07,OUT045,1695.688
NCX29,OUT027,3703.831
NCT42,OUT013,2311.78
DRN59,OUT035,752.811
FDI44,OUT035,1406.919
FDA45,OUT049,2879.543
FDP31,OUT045,1098.943
FDY01,OUT046,1878.117
FDT09,OUT018,2137.004
DRH03,OUT027,2520.756
FDA36,OUT018,2872.34
NCF31,OUT017,2302.416
FDG14,OUT049,2461.13
FDG28,OUT027,6145.509
FDU14,OUT049,4076.456
FDY47,OUT019,294.923
FDI56,OUT049,1360.455
DRD01,OUT013,826.718
FDM22,OUT046,936.557
FDH33,OUT013,588.638
DRZ24,OUT013,1843.59
NCQ38,OUT046,1696.943
FDO16,OUT027,2026.017
FDU07,OUT027,3742.689
NCB07,OUT013,3001.078
FDU48,OUT045,2003.072
NCM43,OUT045,2832.647
FDR31,OUT010,348.223
DRK49,OUT018,592.94
NCI30,OUT010,598.388
DRD60,OUT017,3169.622
NCG19,OUT046,3539.507
FDH12,OUT035,1655.296
FDM32,OUT035,1414.598
FDM27,OUT035,2461.878
NCU53,OUT027,4396.545
NCQ18,OUT046,1537.451
FDS10,OUT013,2803.423
FDB33,OUT027,3911.409
FDI12,OUT013,1348.27
NCW42,OUT013,3872.949
NCC06,OUT018,2074.368
FDW02,OUT017,2021.695
NCD43,OUT017,1739.644
FDM57,OUT018,1369.284
FDA58,OUT017,3622.066
FDK56,OUT046,3155.307
FDP52,OUT045,3819.326
FDW20,OUT018,1991.101
FDS52,OUT049,1565.881
NCT29,OUT018,1804.778
NCL54,OUT013,2785.578
FDC05,OUT045,2914.641
FDF34,OUT035,2908.388
FDP03,OUT027,3333.093
FDD32,OUT010,193.652
FDZ10,OUT045,2137.984
FDZ40,OUT035,908.396
FDD51,OUT018,613.734
NCY30,OUT019,417.437
FDP58,OUT017,3546.866
FDV49,OUT017,4274.878
FDY24,OUT019,130.83
NCO55,OUT017,1677.621
FDR13,OUT017,1988.59
FDS51,OUT017,924.508
FDP26,OUT045,1620.859
NCB54,OUT027,3426.639
FDF32,OUT017,3059.857
FDN31,OUT018,2980.687
DRM48,OUT017,582.235
FDN20,OUT049,2943.616
DRL01,OUT046,3829.294
FDV56,OUT049,1650.495
DRH13,OUT027,2554.675
FDA03,OUT017,2453.711
FDF47,OUT027,6063.461
FDX32,OUT046,2586.303
FDX57,OUT049,1693.246
NCA30,OUT045,3036.452
FDO49,OUT013,722.253
FDL04,OUT019,268.17
DRM48,OUT035,608.445
FDR16,OUT013,3394.814
NCC19,OUT018,2912.983
NCE42,OUT045,3832.978
FDY24,OUT017,930.501
FDH19,OUT049,2801.088
FDJ46,OUT013,2691.375
FDN45,OUT010,598.338
FDY08,OUT035,2181.432
FDZ37,OUT035,1385.029
NCT30,OUT045,778.874
DRY23,OUT018,592.527
NCZ30,OUT018,2018.733
FDC44,OUT018,1778.793
FDB45,OUT035,1718.867
FDY04,OUT013,2563.847
FDM27,OUT046,2640.639
FDZ43,OUT017,3987.403
FDT39,OUT019,371.317
NCC06,OUT019,296.732
FDL15,OUT027,3766.723
FDL57,OUT017,4561.926
FDU08,OUT046,1565.547
FDK40,OUT017,4285.529
FDQ12,OUT010,586.968
FDS48,OUT017,2448.546
FDP09,OUT045,3804.113
FDW21,OUT049,1540.512
FDY25,OUT035,3109.266
DRE13,OUT017,1380.926
FDV43,OUT019,95.699
FDD22,OUT045,1710.387
FDM46,OUT019,233.882
NCO30,OUT010,505.282
FDM25,OUT046,2724.879
NCN41,OUT049,1875.329
FDU24,OUT045,1403.653
FDZ50,OUT046,3323.099
FDP45,OUT013,4031.516
NCM54,OUT045,1882.638
FDW10,OUT019,402.11
FDP20,OUT017,1982.791
FDK32,OUT046,2478.242
FDN52,OUT049,1323.114
FDM58,OUT045,1826.109
FDZ46,OUT027,2938.332
NCA18,OUT018,1699.941
FDD35,OUT046,2185.612
NCK31,OUT035,766.82
FDI40,OUT027,2587.766
FDT50,OUT019,245.568
NCT06,OUT046,2615.963
FDT31,OUT035,3041.673
FDT45,OUT049,827.21
FDT13,OUT045,2984.753
FDO50,OUT045,1362.469
NCU18,OUT010,284.253
NCR54,OUT049,3237.568
NCO18,OUT018,2596.213
FDU09,OUT045,881.846
FDT13,OUT018,2847.055
FDE09,OUT046,1912.168
NCK53,OUT019,264.699
FDG45,OUT049,3630.463
DRH15,OUT035,702.617
FDO21,OUT019,580.797
FDD14,OUT027,5043.29
FDC09,OUT046,1783.475
FDH45,OUT027,1105.964
FDV32,OUT046,1098.477
FDG12,OUT035,2036.005
FDS32,OUT013,2189.212
NCL55,OUT018,3645.131
DRE01,OUT035,3720.125
DRE15,OUT049,1260.72
NCL42,OUT045,3992.113
FDP31,OUT013,1074.374
FDN33,OUT018,1332.569
FDZ59,OUT046,2664.625
FDE45,OUT010,423.129
FDJ07,OUT013,1945.616
FDQ45,OUT018,2875.94
FDM33,OUT027,5766.196
FDO15,OUT010,180.295
FDM46,OUT013,1405.121
FDR03,OUT045,3505.854
FDY49,OUT018,2618.738
FDQ60,OUT045,1833.47
FDW10,OUT049,2925.708
FDO51,OUT049,681.577
FDJ40,OUT018,1496.412
FDS20,OUT018,2893.237
FDU45,OUT013,1815.961
FDV02,OUT035,2819.216
FDN09,OUT046,4068.575
NCM55,OUT027,5052.515
FDN23,OUT018,2369.373
FDY31,OUT010,362.762
FDW03,OUT010,243.105
FDD14,OUT046,3175.956
FDV23,OUT017,1991.376
DRI03,OUT045,2846.608
FDN13,OUT035,1566.452
FDF45,OUT027,1432.165
FDU46,OUT035,1396.837
FDB57,OUT049,4018.564
FDV12,OUT049,1551.847
FDQ58,OUT013,2348.178
NCA18,OUT017,1749.746
FDH52,OUT049,906.21
FDM24,OUT018,2359.991
NCP43,OUT027,4770.798
NCO18,OUT019,418.545
FDM32,OUT017,1397.209
NCL07,OUT017,612.305
FDK03,OUT013,4232.774
FDP59,OUT017,1723.435
FDQ24,OUT049,3880.522
FDQ16,OUT018,1516.747
FDU44,OUT013,2558.077
FDH28,OUT010,95.699
FDV28,OUT019,95.699
FDM22,OUT045,869.964
FDR56,OUT046,3046.541
FDV39,OUT049,2950.804
FDU37,OUT019,194.455
FDQ11,OUT010,593.238
FDX02,OUT045,3883.429
NCS42,OUT018,1327.271
FDY57,OUT027,2575.208
FDB21,OUT049,3594.02
FDE28,OUT017,3725.776
FDQ55,OUT017,2034.808
FDA48,OUT049,3634.617
FDZ19,OUT045,2833.038
NCC43,OUT045,3803.245
NCV18,OUT046,1376.437
NCA42,OUT018,2420.875
FDY45,OUT046,4099.196
NCC30,OUT045,2895.192
FDM57,OUT013,1328.178
FDL09,OUT010,395.404
FDB09,OUT027,3333.093
FDT44,OUT035,1843.147
NCT06,OUT027,4240.309
FDX26,OUT049,3418.864
FDK32,OUT013,2380.93
DRA12,OUT046,2241.093
FDO46,OUT010,518.921
FDE52,OUT013,1355.423
NCH42,OUT045,4153.346
FDV08,OUT035,648.25
FDB47,OUT018,3395.318
FDC28,OUT010,257.635
FDD22,OUT046,1834.225
FDS07,OUT027,3114.894
DRI13,OUT045,3781.362
FDG32,OUT018,3388.55
FDU14,OUT017,4194.688
FDD28,OUT019,174.868
NCP41,OUT017,1747.46
FDS08,OUT049,2844.894
FDX47,OUT045,2523.671
FDC53,OUT019,265.452
FDQ19,OUT035,4037.674
FDL14,OUT045,2316.929
FDM33,OUT019,584.964
FDA51,OUT045,1843.331
FDZ27,OUT018,753.85
FDT04,OUT046,662.282
DRC13,OUT049,2073.276
FDR16,OUT027,5751.331
FDQ03,OUT027,6116.378
FDE38,OUT035,2780.036
DRH23,OUT027,1424.964
FDT11,OUT019,505.953
FDD09,OUT035,3054.079
FDR40,OUT045,1348.597
FDX07,OUT017,3231.366
FDR07,OUT035,1630.676
FDA51,OUT017,1888.288
FDT59,OUT019,583.383
FDF20,OUT017,3073.359
FDR13,OUT045,1966.947
FDY26,OUT049,3924.159
FDW04,OUT017,1987.532
FDK52,OUT017,4028.342
FDN60,OUT049,2654.792
FDM09,OUT019,393.311
FDP46,OUT049,1302.175
FDB50,OUT019,194.455
NCQ29,OUT049,3859.74
FDP16,OUT027,6172.272
FDX33,OUT018,2473.217
FDP07,OUT010,526.657
FDN22,OUT046,3735.644
FDF39,OUT049,3931.648
FDS21,OUT017,910.564
NCM42,OUT013,1613.476
FDK50,OUT019,395.656
DRF13,OUT027,3759.739
FDH35,OUT018,2393.143
FDP60,OUT018,1386.539
DRJ49,OUT027,3435.283
NCT42,OUT019,370.868
FDE38,OUT049,2730.957
FDI04,OUT049,3137.289
NCH54,OUT045,2595.828
FDT56,OUT049,893.209
DRD15,OUT018,3422.14
FDV58,OUT013,2943.279
FDP21,OUT049,3164.626
FDH05,OUT013,3562.049
FDR10,OUT027,4104.446
NCP06,OUT045,2352.619
FDF33,OUT049,1665.011
DRK37,OUT013,2966.538
DRH49,OUT045,1340.553
FDT58,OUT013,2720.304
FDD41,OUT018,1463.875
FDP40,OUT018,1642.745
FDM51,OUT027,2538.356
FDO45,OUT010,198.04
FDW33,OUT010,241.944
FDY24,OUT045,921.146
FDB10,OUT010,608.173
FDM40,OUT035,2199.509
NCI06,OUT017,3167.29
FDW12,OUT019,339.41
FDX48,OUT027,3794.794
NCW05,OUT027,2595.691
FDX27,OUT017,1656.202
DRM37,OUT045,2917.876
FDA38,OUT045,4132.485
FDR36,OUT046,656.484
FDZ45,OUT046,3012.279
FDG05,OUT017,2623.88
FDK28,OUT013,4454.873
FDV47,OUT045,1351.234
FDN21,OUT045,2638.633
FDP20,OUT027,3413.244
FDI35,OUT045,3111.055
DRY23,OUT013,607.476
FDA56,OUT017,2135.143
FDB09,OUT013,1844.37
NCO26,OUT027,3203.273
FDQ49,OUT018,2290.745
FDI52,OUT027,3308.392
FDZ44,OUT027,3165.448
FDZ09,OUT018,2480.315
FDY03,OUT049,1829.511
NCG42,OUT017,2100.247
DRI13,OUT027,5794.269
FDQ32,OUT013,1949.862
FDW16,OUT035,1445.127
FDU27,OUT046,798.289
FDR28,OUT010,409.667
FDQ49,OUT010,387.196
FDS37,OUT046,2019.524
FDW26,OUT018,3354.839
FDX12,OUT018,3513.307
NCP06,OUT013,2413.438
FDW45,OUT010,363.689
NCN30,OUT049,1571.889
FDN24,OUT049,885.63
NCL41,OUT027,1070.294
FDR02,OUT019,282.967
FDD09,OUT010,433.999
FDS33,OUT010,198.617
FDU22,OUT045,1861.444
FDI53,OUT013,2668.442
DRH01,OUT049,2872.42
FDX32,OUT013,2228.736
NCP30,OUT018,587.255
FDB60,OUT045,2910.841
FDB14,OUT049,1395.693
NCP02,OUT035,894.921
FDJ10,OUT017,2133.455
FDG34,OUT046,1841.63
NCB18,OUT017,1338.397
FDM16,OUT049,1184.878
FDW25,OUT018,1356.982
FDB35,OUT010,209.851
DRN11,OUT013,2246.918
FDF41,OUT019,596.872
FDH16,OUT045,1356.027
NCQ50,OUT018,3272.926
DRH23,OUT018,945.78
DRJ37,OUT013,2372.329
DRJ24,OUT027,5043.29
FDY16,OUT035,3237.362
FDQ27,OUT045,1714.382
FDZ33,OUT045,2443.703
FDF29,OUT045,2209.644
FDA08,OUT049,2669.448
FDG31,OUT046,1084.008
FDE34,OUT019,475.405
NCR30,OUT027,1624.558
FDV33,OUT035,4226.887
DRZ24,OUT018,1951.808
NCL54,OUT035,2886.274
FDR12,OUT049,3009.836
NCC54,OUT046,3653.778
DRN59,OUT013,728.805
FDX50,OUT019,285.431
FDV31,OUT027,4736.215
NCA29,OUT027,4650.445
FDW60,OUT049,2922.42
FDX08,OUT017,3235.244
DRD49,OUT013,3526.389
FDD33,OUT046,3554.908
FDW35,OUT013,577.423
FDJ36,OUT017,1770.005
FDV51,OUT035,2859.679
FDW36,OUT046,1661.37
FDH35,OUT046,2552.912
NCS30,OUT027,3455.289
FDN49,OUT017,610.93
FDL08,OUT018,3464.066
FDI09,OUT013,3574.043
FDP19,OUT018,1992.121
FDU21,OUT010,95.699
NCP41,OUT045,1613.391
FDY10,OUT013,1786.619
FDP12,OUT018,542.163
NCN26,OUT049,1999.523
FDK44,OUT013,2716.804
FDC28,OUT049,1620.884
FDJ41,OUT027,6166.011
NCT29,OUT035,1916.732
NCH42,OUT019,576.58
FDU60,OUT018,2432.85
FDS02,OUT045,3085.84
FDC51,OUT046,2162.271
FDU03,OUT013,3107.986
FDX39,OUT045,3668.913
NCY05,OUT010,95.699
NCL06,OUT027,6116.378
FDD32,OUT035,1381.477
NCN41,OUT045,1837.692
NCX53,OUT049,2216.739
FDU57,OUT019,351.051
FDQ23,OUT046,1772.714
FDQ52,OUT045,3716.036
FDC14,OUT045,670.022
FDY09,OUT035,2964.13
FDQ28,OUT045,2360.047
FDV25,OUT046,3887.85
FDJ07,OUT035,2014.529
DRB25,OUT049,1638.272
FDK52,OUT019,588.747
FDY52,OUT027,1509.574
FDB28,OUT046,2950.572
FDT36,OUT035,587.277
FDV25,OUT017,4051.927
NCN07,OUT027,3435.283
FDC57,OUT017,3271.719
FDQ03,OUT018,3369.08
FDU23,OUT017,2984.013
NCX41,OUT035,3886.806
NCD06,OUT035,785.343
FDW08,OUT045,1596.114
NCU29,OUT017,2437.625
NCE06,OUT013,2641.206
FDV52,OUT010,265.787
FDB02,OUT017,2973.193
NCR18,OUT045,666.375
FDK16,OUT049,1540.093
NCQ29,OUT010,605.352
FDZ01,OUT019,269.111
FDW27,OUT035,2594.813
FDD17,OUT018,3489.799
FDW39,OUT013,2712.922
DRH59,OUT045,1154.229
FDS52,OUT013,1599.871
FDU40,OUT027,5725.767
NCF54,OUT013,2715.135
FDH46,OUT045,1776.132
NCP14,OUT049,1719.362
FDH50,OUT049,3168.282
DRF15,OUT010,381.982
FDV27,OUT027,2153.233
NCJ06,OUT049,2055.047
FDN02,OUT018,3213.798
FDQ51,OUT049,808.34
FDQ07,OUT017,3910.247
FDS45,OUT049,1704.069
NCJ06,OUT045,2072.204
FDD36,OUT035,2027.322
FDY25,OUT045,3160.279
FDU52,OUT046,2389.441
DRK47,OUT017,4342.205
NCL30,OUT017,1980.897
FDN22,OUT035,3831.519
NCF30,OUT027,3407.351
FDK03,OUT035,4338.082
FDT45,OUT017,878.847
NCC54,OUT027,6116.378
FDP08,OUT018,2855.253
FDU44,OUT046,2598.4
DRG39,OUT035,806.462
FDU32,OUT049,2168.99
FDY27,OUT049,2989.168
NCP54,OUT013,2035.431
NCZ41,OUT049,1915.75
DRL49,OUT013,2250.095
FDI05,OUT018,1320.498
FDY56,OUT045,4104.29
DRC13,OUT013,2046.694
NCV29,OUT017,3085.553
FDR24,OUT049,1316.621
FDZ34,OUT018,2968.827
FDP37,OUT035,2041.321
FDX08,OUT027,4762.286
FDS57,OUT045,2109.083
NCG18,OUT049,1707.123
FDK25,OUT018,2526.837
FDH53,OUT049,1288.505
DRI59,OUT018,3464.586
FDA52,OUT046,2618.857
FDT20,OUT010,95.699
FDE36,OUT019,388.321
FDI24,OUT017,2875.014
FDB28,OUT018,2816.853
FDV11,OUT017,2880.737
FDP01,OUT046,2378.255
FDD34,OUT027,4114.287
FDJ50,OUT027,1147.857
FDZ44,OUT013,1873.472
DRO59,OUT035,1268.316
DRB48,OUT045,651.295
FDR21,OUT018,2598.376
NCE42,OUT010,592.504
FDO23,OUT046,1434.054
NCE30,OUT018,3244.976
FDQ22,OUT035,608.466
FDY01,OUT045,1826.937
FDS08,OUT017,2869.734
FDG28,OUT018,3451.326
FDQ51,OUT018,771.785
FDB05,OUT017,3987.828
FDO56,OUT049,1860.827
FDE02,OUT018,1334.461
FDN45,OUT017,3685.316
FDS09,OUT013,709.23
NCA54,OUT018,2797.499
FDP09,OUT010,546.186
FDC53,OUT045,1538.897
NCM55,OUT017,3298.295
FDL09,OUT018,2526.837
FDA11,OUT019,235.639
FDA50,OUT045,1569.912
FDC23,OUT017,3086.988
FDE22,OUT049,2640.303
FDD23,OUT046,3244.912
NCA29,OUT049,3070.455
FDK38,OUT046,2440.829
DRC13,OUT046,2143.111
NCP43,OUT049,2983.433
FDX28,OUT049,1547.055
FDF08,OUT049,1372.288
FDZ33,OUT046,2516.69
FDD10,OUT049,2942.052
FDO58,OUT017,2707.426
FDI50,OUT017,4326.065
FDO58,OUT045,2633.847
FDX08,OUT013,2935.285
NCK17,OUT010,95.699
FDF39,OUT035,4238.26
FDU45,OUT010,264.332
NCJ18,OUT018,1803.562
DRC27,OUT019,595.54
DRC25,OUT035,1377.255
FDU59,OUT035,2720.555
FDU28,OUT035,3051.348
NCP30,OUT046,653.802
FDB39,OUT018,931.285
FDE41,OUT013,1322.015
DRH11,OUT010,169.376
FDA58,OUT045,3555.323
FDU50,OUT046,1831.408
FDM34,OUT013,2067.266
FDM44,OUT027,2538.356
FDR39,OUT045,3200.806
FDM25,OUT045,2759.968
FDQ49,OUT049,2414.225
DRH25,OUT018,829.499
FDM09,OUT027,4393.279
FDL44,OUT019,389.411
NCR42,OUT018,541.168
DRL59,OUT046,839.889
FDX43,OUT013,2735.476
DRK47,OUT010,600.049
FDU48,OUT018,1933.478
FDY12,OUT045,771.168
NCN43,OUT018,2004.44
NCM55,OUT018,3003.957
FDQ21,OUT027,3314.228
FDX13,OUT035,4025.632
NCK30,OUT027,6105.118
FDG20,OUT049,2777.271
DRG27,OUT017,669.653
FDY14,OUT018,3739.628
FDP59,OUT035,1711.959
FDU60,OUT017,3041.382
NCC18,OUT019,393.311
DRJ39,OUT017,4031.872
FDS07,OUT049,1827.113
FDM08,OUT027,6069.911
FDP51,OUT045,1974.758
FDU16,OUT035,1400.685
FDH12,OUT013,1573.647
DRE48,OUT010,526.657
NCL42,OUT027,6172.272
FDR21,OUT045,2786.482
NCW29,OUT035,2218.431
FDO11,OUT013,4041.039
NCM31,OUT049,2119.119
FDV35,OUT019,355.354
FDF58,OUT017,925.802
NCE43,OUT049,2912.392
FDA02,OUT035,2355.769
DRL37,OUT010,95.699
FDR24,OUT018,1322.109
FDW59,OUT049,1304.784
FDS22,OUT049,675.117
FDW24,OUT017,753.481
FDU24,OUT035,1621.116
FDA21,OUT027,5072.231
FDH58,OUT027,3165.448
FDW36,OUT018,1459.506
FDI45,OUT027,4650.445
FDU01,OUT018,2872.141
FDF35,OUT027,2615.698
FDU43,OUT019,595.54
FDE24,OUT019,333.826
FDK50,OUT049,2807.651
FDG31,OUT045,960.896
FDC60,OUT045,1390.227
FDL36,OUT013,1388.379
FDP21,OUT013,2951.26
FDW16,OUT045,1414.617
FDX02,OUT017,4057.356
FDQ58,OUT027,3776.872
FDT51,OUT046,1843.616
FDD59,OUT049,1308.17
NCM42,OUT018,1496.693
FDA57,OUT018,597.911
FDZ48,OUT035,1903.868
FDE46,OUT045,2364.59
NCZ30,OUT019,296.43
FDB56,OUT017,3298.6
FDA25,OUT027,2592.808
FDD20,OUT013,2124.604
FDL25,OUT013,1405.121
NCO18,OUT049,2907.547
FDJ45,OUT017,591.183
FDR12,OUT035,3018.03
NCF19,OUT010,95.699
FDK25,OUT046,2663.52
NCR17,OUT046,2063.097
FDC52,OUT046,2344.899
NCA54,OUT017,3183.486
FDR45,OUT010,590.112
NCM19,OUT049,1864.877
FDF39,OUT027,6166.011
FDX23,OUT049,1643.257
FDD58,OUT027,2582.776
FDX28,OUT013,1482.889
NCD31,OUT013,2783.965
FDU57,OUT018,2409.958
FDI27,OUT046,699.145
NCM42,OUT046,1710.645
FDD32,OUT027,1972.417
FDI34,OUT013,3834.223
NCM29,OUT049,2227.349
FDG46,OUT018,1835.383
DRC01,OUT010,96.535
FDB15,OUT027,6116.378
NCA17,OUT027,3756.796
FDF10,OUT046,2510.281
FDR26,OUT027,4725.233
FDI02,OUT049,1751.586
NCM54,OUT010,267.156
